layer_idx,neuron_idx,assigned_value
9,10067,0.0017013549804687
5,10325,0.0031356811523437
25,1151,0.0122451782226562
21,3661,0.0086746215820312
22,10679,0.0087738037109375
25,4534,0.0061798095703125
12,2794,0.004241943359375
22,1230,0.0071449279785156
3,1927,0.001235008239746
12,9560,0.0032005310058593
23,13482,0.0101242065429687
10,11742,0.0077972412109375
19,6543,0.003173828125
15,9053,0.028289794921875
6,4803,0.0024871826171875
1,14258,9.578466415405272e-05
4,11496,0.0016803741455078
21,8467,0.0024452209472656
25,12723,0.0137710571289062
11,1713,0.0019207000732421
8,13493,0.0070152282714843
13,7421,0.0158538818359375
11,5096,0.001774787902832
2,13678,0.0012340545654296
2,846,0.0006208419799804
24,11343,0.0057868957519531
6,9609,0.0111236572265625
1,2849,0.0002467632293701
5,3722,0.0040664672851562
27,7453,0.0046920776367187
26,1566,0.0113525390625
25,14146,0.0028533935546875
8,2084,0.0083770751953125
17,9717,0.0057945251464843
19,6006,0.0083160400390625
20,2444,0.0115280151367187
18,12951,0.0012245178222656
24,3317,0.0038833618164062
18,3502,0.0048408508300781
10,8522,0.00634765625
31,2983,0.02142333984375
1,4272,0.0007209777832031
31,6366,0.02716064453125
5,5145,-0.0001555681228637
6,1583,0.0099105834960937
27,12259,0.01702880859375
26,6372,0.01995849609375
16,11319,0.0184478759765625
7,1003,0.0002546310424804
28,11679,0.0080184936523437
29,8117,0.0012693405151367
24,1357,-0.0005602836608886
18,1542,0.0052108764648437
14,4052,0.0017862319946289
24,4740,0.019195556640625
23,11685,0.0048027038574218
10,9945,0.0004694461822509
5,6568,0.0094680786132812
5,9951,0.0012636184692382
1,12461,0.0002162456512451
25,13609,0.024749755859375
0,8826,0.0001193881034851
25,4160,0.0052299499511718
8,8313,-0.0007328987121582
3,1553,2.6226043701171875e-06
16,6676,0.0018844604492187
7,2426,0.0084381103515625
28,13102,0.1041259765625
15,1913,0.0115509033203125
23,13108,0.03765869140625
18,6348,0.0084991455078125
9,7733,0.004302978515625
14,12241,0.0060806274414062
6,7812,0.0049476623535156
30,6708,0.0082321166992187
25,8966,0.0007686614990234
21,11476,0.0076560974121093
11,1339,0.007415771484375
7,3849,0.0018310546875
11,4722,0.0060920715332031
7,7232,0.0045509338378906
20,10096,0.0019683837890625
18,7771,0.0083236694335937
10,6725,0.0082473754882812
27,7079,0.0062217712402343
1,5858,0.0001876354217529
26,1192,0.006561279296875
27,10462,0.00946044921875
21,12899,0.0029754638671875
21,67,0.0145339965820312
13,5087,0.0043869018554687
16,9522,0.0114364624023437
12,12032,0.0035839080810546
3,7782,0.0006642341613769
3,11165,0.0007505416870117
13,11853,0.0037155151367187
8,5093,0.00555419921875
28,6499,0.008819580078125
28,9882,0.217529296875
23,3122,0.004669189453125
29,6320,0.0202789306640625
6,7275,0.0047836303710937
19,12398,0.0066909790039062
6,10658,-0.0002541542053222
4,10585,0.0013418197631835
0,13095,0.0003128051757812
5,4771,0.0020637512207031
22,1742,0.013427734375
0,3646,6.133317947387695e-05
22,5125,0.0062294006347656
25,2363,0.0105667114257812
16,10945,-0.0002908706665039
13,9893,0.0012016296386718
11,7568,0.0052833557128906
20,3493,0.0108108520507812
10,6188,0.0024547576904296
14,10444,0.0013799667358398
0,1686,0.0018634796142578
4,2559,0.0020122528076171
25,3786,0.0302886962890625
21,6296,0.0115890502929687
3,1179,0.0023212432861328
2,11507,0.0093536376953125
23,12734,-0.0008010864257812
18,5974,0.0006871223449707
4,599,0.0116424560546875
31,8838,0.0030574798583984
10,1545,-0.0003154277801513
26,5461,0.0115890502929687
27,1899,0.029541015625
0,9875,0.0002321004867553
25,5209,0.0078201293945312
25,8592,7.933378219604492e-05
11,10414,0.015960693359375
21,11102,0.0091934204101562
16,4342,0.0074005126953125
7,92,0.0110092163085937
8,9362,0.0300140380859375
11,13797,0.0050735473632812
16,7725,0.0091705322265625
11,965,9.5367431640625e-06
8,12745,0.0047988891601562
2,98,0.0008020401000976
18,4014,0.0061874389648437
3,12751,0.0001423358917236
24,7212,-0.0015821456909179
19,3835,0.0123138427734375
18,10780,0.0125732421875
10,2968,0.00421142578125
30,7757,0.0049018859863281
26,10267,0.03192138671875
22,12777,0.0111465454101562
1,5484,0.0003209114074707
12,8275,0.0006275177001953
13,4713,0.00958251953125
7,11664,0.0056610107421875
20,5079,0.0051193237304687
4,6828,0.0011367797851562
10,7774,0.0115890502929687
31,2235,0.0173492431640625
12,13081,0.0001243352890014
7,6321,0.0074272155761718
23,788,0.0048408508300781
28,10931,0.02093505859375
24,13441,0.0021896362304687
15,9191,0.003488540649414
10,5814,0.0023384094238281
14,6687,0.000518798828125
1,4947,0.0003364086151123
22,2791,0.0011835098266601
27,102,0.021636962890625
31,13807,0.0231170654296875
25,3412,0.010284423828125
13,14325,0.0045089721679687
2,7750,0.0009498596191406
8,10948,0.0028018951416015
3,4188,0.0005288124084472
15,13997,0.0090179443359375
20,7925,0.0068588256835937
15,1165,0.004486083984375
23,12360,0.0079803466796875
14,8110,0.0020256042480468
9,6985,0.0028438568115234
0,6118,0.0018386840820312
22,7597,0.0207061767578125
4,6991,0.0015058517456054
21,3962,-0.0002558231353759
27,4908,0.022186279296875
16,585,0.0043487548828125
2,9173,0.0018739700317382
29,10215,0.0003113746643066
19,78,0.0019798278808593
15,2588,0.0032176971435546
18,10406,0.0009636878967285
4,5031,0.0024013519287109
26,6510,-0.0014276504516601
16,2008,0.0011749267578125
25,9641,0.0061607360839843
8,10411,0.0013666152954101
16,8774,0.0102996826171875
13,7722,0.00396728515625
19,1501,0.0013618469238281
29,2189,-0.0004339218139648
18,8446,0.00799560546875
5,10089,0.0021266937255859
9,382,0.00482177734375
0,12347,0.000739574432373
4,13220,0.0093154907226562
25,11064,0.038055419921875
21,742,0.008575439453125
7,12713,0.0089111328125
28,7174,0.043609619140625
18,9869,0.0043983459472656
23,3797,0.0132369995117187
24,235,0.0099411010742187
9,1805,0.0012760162353515
10,8823,0.0063629150390625
